0.0500,0.0750,0.0600
0.0500,0.1000,0.0705
0.0500,0.1250,0.0815
0.0500,0.1500,0.0910
0.0500,0.1750,0.0963
0.0500,0.2000,0.1025
0.0500,0.2250,0.1113
0.0500,0.2500,0.1201
0.0500,0.2750,0.1198
0.0500,0.3000,0.1376
0.0500,0.3250,0.1436
0.0500,0.3500,0.1491
0.0500,0.3750,0.1606
0.0500,0.4000,0.1656
0.0500,0.4250,0.1739
0.0500,0.4500,0.1742
0.0500,0.4750,0.1989
0.0500,0.5000,0.1987
0.0500,0.5250,0.2069
0.0500,0.5500,0.2102
0.0500,0.5750,0.2339
0.0500,0.6000,0.2427
0.0500,0.6250,0.2514
0.0500,0.6500,0.2302
0.0500,0.6750,0.2502
0.0500,0.7000,0.3296
0.0500,0.7250,0.2932
0.0500,0.7500,0.3162
0.0500,0.7750,0.2895
0.0500,0.8000,0.3202
0.0500,0.8250,0.2828
0.0500,0.8500,0.3063
0.0500,0.8750,0.3884
0.0500,0.9000,0.4241
0.0500,0.9250,0.4089
0.0500,0.9500,0.5269
0.0500,0.9750,0.6325
0.0500,1.0000,0.9422
